Id,FirstName,LastName,Gender,AddressString,PhoneNumber
78752594,Виталий,Панов,Female,"Тула, пр. Горная, 922, кв. 649",(929)467-81-77
19145364,Оксана,Дементьева,Female,"Республика Бурятия, Сочи, площадь Садовый, 065",(965)116-29-50
28565905,Лидия,Шилова,Male,"Удмуртская Республика, Пермь, Сосновая ул., 395, кв. 129",(930)087-86-22
41846332,Анна,Кондратьева,Female,"Тульская область, Ульяновск, проспект Коммунистическая, 418",(955)741-41-85
76054911,Оксана,Крылова,Male,"Оренбургская область, Иваново, пл. Луговая, 829",(959)140-19-03
05582117,Арина,Романова,Female,"Астрахань, Пионерская проспект, 364",(960)873-89-51
53353287,Егор,Аксенов,Female,"Владивосток, улица 8 Марта, 106, кв. 692",(948)215-26-47
41044099,Татьяна,Алексеева,Male,"Таймырский (Долгано-Ненецкий) автономный округ, Иваново, ул. Октябрьская, 941",(923)602-62-51
69176307,Раиса,Сидорова,Male,"Республика Адыгея, Курск, площадь Механизаторов, 352",(950)381-37-30
36977582,Кира,Агафонова,Male,"Оренбург, Красноармейская пл., 668, кв. 511",(927)743-67-82
82452450,Валентина,Харитонова,Male,"Омская область, Сочи, улица Садовый, 659",(933)248-40-71
19717056,Степан,Гущин,Female,"Пензенская область, Ярославль, Железнодорожная ул., 420",(924)373-07-44
07070555,Денис,Федоров,Male,"Чебоксары, Центральная пр., 906, кв. 957",(974)360-67-25
36867178,Сергей,Гаврилов,Male,"Астраханская область, Белгород, Калинина ул., 185",(928)684-70-78
61912293,Василий,Филатов,Female,"Нижний Новгород, пр. Южная, 271, кв. 563",(920)107-88-16
49789869,Дарья,Копылова,Male,"Республика Бурятия, Магнитогорск, Некрасова улица, 418, кв. 633",(957)452-08-26
18835641,Вадим,Сысоев,Female,"Оренбург, Коммунальная ул., 010",(904)158-04-57
30830232,Олег,Уваров,Male,"Уфа, Спортивная пл., 437, кв. 696",(901)711-54-42
32010516,Борис,Козлов,Female,"Республика Карачаево-Черкессия, Сочи, Заречная ул., 638, кв. 758",(994)483-45-14
56527906,Зинаида,Кабанова,Female,"Казань, Восточная улица, 493",(923)353-09-87
